corpus,language,tag,prompt_dict,n_few_shot,random_seed,control,beam_search,sample,precision,rappel,f1
quaero,fr,DISO,en,5,1,n,n,n,0.37,0.33,0.35
quaero,fr,DISO,en,5,2,n,n,n,0.29,0.35,0.32
quaero,fr,DISO,en,5,3,n,n,n,0.33,0.29,0.31
quaero,fr,DISO,en,10,1,n,n,n,0.31,0.32,0.32
quaero,fr,DISO,en,10,2,n,n,n,0.20,0.28,0.23
quaero,fr,DISO,en,10,3,n,n,n,0.30,0.33,0.31
quaero,fr,DISO,en,5,1,y,n,n,0.43,0.24,0.31
quaero,fr,DISO,en,5,2,y,n,n,0.31,0.30,0.31
quaero,fr,DISO,en,5,3,y,n,n,0.33,0.23,0.27
quaero,fr,DISO,en,10,1,y,n,n,0.35,0.26,0.30
quaero,fr,DISO,en,10,2,y,n,n,0.26,0.26,0.26
quaero,fr,DISO,en,10,3,y,n,n,0.23,0.17,0.20
quaero,fr,DISO,fr,5,1,y,n,n,0.39,0.24,0.30
quaero,fr,DISO,fr,5,2,y,n,n,0.3,0.28,0.29
quaero,fr,DISO,fr,5,3,y,n,n,0.31,0.23,0.26
quaero,fr,DISO,fr,10,1,y,n,n,0.59,0.24,0.34
quaero,fr,DISO,fr,10,2,y,n,n,0.38,0.19,0.25
quaero,fr,DISO,fr,10,3,y,n,n,0.26,0.17,0.21
wn,en,LOC,en,5,1,y,n,n,0.67,0.72,0.7
wn,en,LOC,en,5,2,y,n,n,0.8,0.66,0.72
wn,en,LOC,en,5,3,y,n,n,0.75,0.68,0.72
wn,en,LOC,en,10,1,y,n,n,0.64,0.62,0.63
wn,en,LOC,en,10,2,y,n,n,0.86,0.64,0.73
wn,en,LOC,en,10,3,y,n,n,0.55,0.73,0.63
wn,en,PER,en,5,1,n,n,n,0.77,0.78,0.77
wn,en,PER,en,5,2,n,n,n,0.82,0.58,0.68
wn,en,PER,en,5,3,n,n,n,0.84,0.64,0.73
wn,en,PER,en,10,1,n,n,n,0.74,0.74,0.74
wn,en,PER,en,10,2,n,n,n,0.91,0.53,0.67
wn,en,PER,en,10,3,n,n,n,0.83,0.50,0.63
wn,en,PER,en,5,1,y,n,n,0.75,0.65,0.70
wn,en,PER,en,5,2,y,n,n,0.79,0.65,0.72
wn,en,PER,en,5,3,y,n,n,0.88,0.60,0.72
wn,en,PER,en,10,1,y,n,n,0.69,0.68,0.68
wn,en,PER,en,10,2,y,n,n,0.91,0.53,0.67
wn,en,PER,en,10,3,y,n,n,0.84,0.54,0.66
wn,fr,LOC,en,5,1,y,n,n,0.42,0.54,0.47
wn,fr,LOC,en,5,2,y,n,n,0.56,0.74,0.64
wn,fr,LOC,en,5,3,y,n,n,0.59,0.64,0.61
wn,fr,LOC,en,10,1,y,n,n,0.51,0.54,0.52
wn,fr,LOC,en,10,2,y,n,n,0.57,0.71,0.63
wn,fr,LOC,en,10,3,y,n,n,0.64,0.62,0.63
wn,fr,PER,en,5,1,n,n,n,0.78,0.88,0.83
wn,fr,PER,en,5,1,y,n,n,0.79,0.79,0.79
wn,fr,PER,en,5,2,n,n,n,0.55,0.64,0.59
wn,fr,PER,en,5,2,y,n,n,0.55,0.61,0.58
wn,fr,PER,en,5,3,n,n,n,0.68,0.68,0.68
wn,fr,PER,fr,5,1,y,n,n,0.56,0.73,0.64
wn,fr,PER,en,10,1,n,n,n,0.89,0.73,0.80
wn,fr,PER,fr,10,1,y,n,n,0.67,0.61,0.64
wn,fr,LOC,fr,5,1,y,n,n,0.45,0.51,0.48
wn,fr,LOC,fr,5,2,y,n,n,0.58,0.76,0.66
wn,fr,LOC,fr,5,3,y,n,n,0.60,0.61,0.60
wn,fr,LOC,fr,10,1,y,n,n,0.74,0.57,0.64
wn,fr,LOC,fr,10,2,y,n,n,0.52,0.67,0.59
wn,fr,LOC,fr,10,3,y,n,n,0.62,0.56,0.59
wn,fr,PER,en,10,2,n,n,n,0.61,0.61,0.61
wn,fr,PER,en,5,3,y,n,n,0.72,0.62,0.66
wn,fr,PER,en,10,3,n,n,n,0.47,0.75,0.58
wn,fr,PER,en,10,1,y,n,n,0.92,0.67,0.77
wn,fr,PER,fr,5,1,n,n,n,0.46,0.76,0.57
wn,fr,PER,fr,5,2,y,n,n,0.47,0.64,0.54
wn,fr,PER,fr,10,1,n,n,n,0.64,0.73,0.68
wn,fr,PER,fr,10,2,y,n,n,0.72,0.58,0.64
wn,fr,PER,fr,5,2,n,n,n,0.44,0.64,0.52
wn,fr,PER,en,10,2,y,n,n,0.66,0.58,0.62
wn,fr,PER,fr,10,2,n,n,n,0.73,0.70,0.72
wn,fr,PER,en,10,3,y,n,n,0.5,0.72,0.59
wn,fr,PER,fr,5,3,n,n,n,0.41,0.62,0.5
wn,fr,PER,fr,5,3,y,n,n,0.39,0.55,0.45
wn,fr,PER,fr,10,3,n,n,n,0.33,0.62,0.43
wn,fr,PER,fr,10,3,y,n,n,0.42,0.58,0.49
wn,en,PER,en,5,1,n,y,n,0.79,0.80,0.8
wn,en,PER,en,5,2,n,y,n,0.86,0.75,0.80
wn,en,PER,en,5,3,n,y,n,0.87,0.66,0.75
wn,en,PER,en,10,1,n,y,n,0.78,0.76,0.77
wn,en,PER,en,10,2,n,y,n,0.85,0.56,0.67
wn,en,PER,en,10,3,n,y,n,0.85,0.68,0.76
wn,fr,LOC,en,5,1,n,y,n,0.39,0.62,0.48
wn,fr,LOC,en,5,2,n,y,n,0.53,0.80,0.64
wn,fr,LOC,en,5,3,n,y,n,0.57,0.65,0.61
wn,fr,LOC,en,10,1,n,y,n,0.48,0.62,0.55
wn,fr,LOC,en,10,2,n,y,n,0.49,0.71,0.58
wn,fr,LOC,en,10,3,n,y,n,0.61,0.62,0.62
quaero,fr,DISO,en,5,1,n,y,n,0.40,0.38,0.39
quaero,fr,DISO,en,5,2,n,y,n,0.28,0.33,0.30
quaero,fr,DISO,en,5,3,n,y,n,0.34,0.29,0.31
quaero,fr,DISO,en,10,1,n,y,n,0.34,0.33,0.34
quaero,fr,DISO,en,10,2,n,y,n,0.25,0.30,0.27
quaero,fr,DISO,en,10,3,n,y,n,0.27,0.29,0.28
quaero,fr,DISO,fr,5,1,n,y,n,0.35,0.38,0.37
quaero,fr,DISO,fr,5,2,n,y,n,0.29,0.30,0.30
quaero,fr,DISO,fr,5,3,n,y,n,0.25,0.27,0.26
quaero,fr,DISO,fr,10,1,n,y,n,0.45,0.30,0.36
quaero,fr,DISO,fr,10,2,n,y,n,0.33,0.23,0.27
quaero,fr,DISO,fr,10,3,n,y,n,0.28,0.25,0.26
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
